Glottocode	ID	Dataset	Name	ChineseName	Family	SubGroup	Latitude	Longitude	Datasets
chan1326	Changsha	beidasinitic	Changsha	长沙	Sino-Tibetan	Sinitic	28.85032	112.943344	beidasinitic/beidazihui/housinitic/houzihui/liusinitic
chen1267	Chengdu	beidasinitic	Chengdu	成都	Sino-Tibetan	Sinitic	30.605768	103.970947	beidasinitic/beidazihui/housinitic/houzihui/liusinitic
guan1279	Guangzhou	beidasinitic	Guangzhou	广州	Sino-Tibetan	Sinitic	23.1253503	112.9476548	beidasinitic/beidazihui/housinitic/houzihui/liusinitic/sagartst
kunm1234	Kunming	beidasinitic	Kunming	昆明	Sino-Tibetan	Sinitic	25.049711	102.72274	beidasinitic/housinitic/houzihui
yuet1238	Meixian	beidasinitic	Meixian	梅县	Sino-Tibetan	Sinitic	24.3522958	115.8903375	beidasinitic/beidazihui/housinitic/houzihui/liusinitic
yang1307	Yangjiang	beidasinitic	Yangjiang	阳江	Sino-Tibetan	Sinitic	21.7895612	111.966667	beidasinitic
sand1270	ShuigenCentralSandong	castrosui	Sandong	三洞乡水根村	Tai-Kadai	Sui	25.724479	107.92172	castrosui
sand1270	RenliEasternSandong	castrosui	Renli	榕江县仁里水族乡党民村	Tai-Kadai	Sui	26.116584	108.435839	castrosui
pand1262	Pandong	castrosui	Pandong	都匀市阳和水族乡潘洞村	Tai-Kadai	Sui	26.06349	107.693696	castrosui
sich1238	XinfengSonaga	castroyi	Sonaga (Xinfeng)		Sino-Tibetan	Nesu	24.4957899	101.3020228	castroyi
liuq1235	LuzhaiLuzhai	castrozhuang	Luzhai Luzhai	鹿寨鹿寨	Tai-Kadai	Zhuang	24.36935	109.746886	castrozhuang
liuq1235	XiangzhouYunjiang	castrozhuang	Xiangzhou Yunjiang	象州运江	Tai-Kadai	Zhuang	24.137508	109.733639	castrozhuang
liuq1235	WuxuanHuangmao	castrozhuang	Wuxuan Huangmao	武宣黄茆	Tai-Kadai	Zhuang	23.780134	109.636403	castrozhuang
east2363	GangbeiZhongli	castrozhuang	Gangbei Zhongli	港北中里	Tai-Kadai	Zhuang	23.281551	109.641785	castrozhuang
east2363	XingbinQianjiang	castrozhuang	Xingbin Qianjiang	兴宾迁江	Tai-Kadai	Zhuang	23.548344	108.900099	castrozhuang
cent2009	MashanBaishan	castrozhuang	Mashan Baishan	马山白山	Tai-Kadai	Zhuang	23.68569	108.17574	castrozhuang
cent2009	DahuaYantan	castrozhuang	Dahua Yantan	大化岩滩	Tai-Kadai	Zhuang	24.026928	107.570884	castrozhuang
cent2009	DuAnBaiwang	castrozhuang	Du'an Baiwang	都安百旺	Tai-Kadai	Zhuang	24.11682	108.41675	castrozhuang
luop1235	EasternLuobuohe	chenhmongmien	Luobuohe, Eastern	石板寨	Hmong-Mien	Hmongic	26.63966	107.913354	chenhmongmien
luop1235	WesternLuobuohe	chenhmongmien	Luobuohe, Western	高寨	Hmong-Mien	Hmongic	26.854607	107.226676	chenhmongmien
chua1248	Chuanqiandian	chenhmongmien	Chuanqiandian	大南山	Hmong-Mien	Hmongic	27.51846	105.421028	chenhmongmien
nort2749	CentralGuizhouChuanqiandian	chenhmongmien	Chuanqiandian, Central Guizhou	高坡	Hmong-Mien	Hmongic	26.231562	106.861969	chenhmongmien
cent1394	SouthernGuizhouChuanqiandian	chenhmongmien	Chuanqiandian, Southern Guizhou	宗地	Hmong-Mien	Hmongic	25.586343	106.323467	chenhmongmien
larg1235	NortheastYunnanChuanqiandian	chenhmongmien	Chuanqiandian, Northeast Yunnan	石门坡	Hmong-Mien	Hmongic	27.096059	103.698607	chenhmongmien
west2430	WesternXiangxi	chenhmongmien	Xiangxi, West	 腊乙坪	Hmong-Mien	Hmongic	28.33212	109.422366	chenhmongmien
east2371	EasternXiangxi	chenhmongmien	Xiangxi, East	小章	Hmong-Mien	Hmongic	28.124036	109.890473	chenhmongmien
nort2747	NorthernQiandong	chenhmongmien	Qiandong, North	养蒿	Hmong-Mien	Hmongic	26.68993	108.401145	chenhmongmien
east2370	EasternQiandong	chenhmongmien	Qiandong, East	菜地湾	Hmong-Mien	Hmongic	27.78098	110.499463	chenhmongmien
sout2754	SouthernQiandong	chenhmongmien	Qiandong, South	尧告	Hmong-Mien	Hmongic	25.520166	108.779365	chenhmongmien
pahn1237	WesternBaheng	chenhmongmien	Baheng, West	滚董	Hmong-Mien	Hmongic	25.74971	109.286281	chenhmongmien
pahn1237	EasternBahen	chenhmongmien	Baheng, East	毛坳	Hmong-Mien	Hmongic	27.11733	111.02615	chenhmongmien
dong1287	Dongnu	chenhmongmien	Dongnu	七百弄	Hmong-Mien	Hmongic	24.201523	107.957327	chenhmongmien
nunu1247	Nunu	chenhmongmien	Nunu	西山	Hmong-Mien	Hmongic	24.232341	107.194266	chenhmongmien
numa1251	Numao	chenhmongmien	Numao	瑶麓	Hmong-Mien	Hmongic	25.447767	108.064732	chenhmongmien
youn1235	Younuo	chenhmongmien	Younuo	优诺	Hmong-Mien	Hmongic	25.730893	110.115975	chenhmongmien
shee1238	She	chenhmongmien	She	下水村	Hmong-Mien	Hmongic	26.264261	110.096988	chenhmongmien
jion1236	Jiongnai	chenhmongmien	Jiongnai	龙华	Hmong-Mien	Hmongic	24.071002	110.105752	chenhmongmien
iumi1238	Mien	chenhmongmien	Mien	龙定	Hmong-Mien	Mienic	24.172823	110.054488	chenhmongmien
kimm1245	KimMun	chenhmongmien	Kim Mun	烟园	Hmong-Mien	Mienic	18.955781	109.86012	chenhmongmien
biao1254	BiaoMin	chenhmongmien	Biao Min	双龙	Hmong-Mien	Mienic	25.82286	111.29622	chenhmongmien
dzao1238	ZaoMin	chenhmongmien	Zao Min	油岭	Hmong-Mien	Mienic	24.612303	112.266749	chenhmongmien
guiy1235	Guiyang	housinitic	Guiyang	贵阳	Sino-Tibetan	Sinitic	26.71691	106.638336	housinitic/houzihui
hain1237	Haikou	housinitic	Haikou	海口	Sino-Tibetan	Sinitic	20.043869	110.329399	housinitic/houzihui
nann1239	Nanning	housinitic	Nanning	南宁	Sino-Tibetan	Sinitic	22.848716	108.366165	housinitic/houzihui
wuha1234	Wuhan	housinitic	Wuhan	武汉	Sino-Tibetan	Sinitic	30.624086	114.305649	housinitic/houzihui
xian1255	Xianggang	housinitic	Xianggang	香港	Sino-Tibetan	Sinitic	22.422645	114.098396	housinitic/houzihui
guil1241	Guilin	liusinitic	Guilin	桂林	Sino-Tibetan	Sinitic	25.266667	110.283333	liusinitic
tuol1234	Tuoluo	wangbai	Tuoluo	妥洛白语	Sino-Tibetan	Bai	23.3833337	102.1839821	wangbai
