ID,Target_Form_ID,Source_Form_ID,Comment,Source,Xenolog_Cluster_ID,Borrowing_Detection_Method
expert-Changsha-and-1,Changsha-and-1,,,,expert-1,
expert-Changsha-ant-1,Changsha-ant-1,,,,expert-5,
expert-Changsha-aubergine-1,Changsha-aubergine-1,,,,expert-15,
auto-Changsha-aubergine-1,Changsha-aubergine-1,,,,auto-5,
expert-Changsha-bad-1,Changsha-bad-1,,,,expert-6,
auto-Changsha-bad-1,Changsha-bad-1,,,,auto-6,
expert-Changsha-bamboo-1,Changsha-bamboo-1,,,,expert-21,
expert-Changsha-be-1,Changsha-be-1,,,,expert-8,
auto-Changsha-be-1,Changsha-be-1,,,,auto-10,
expert-Changsha-bealive-1,Changsha-bealive-1,,,,expert-10,
auto-Changsha-bealive-1,Changsha-bealive-1,,,,auto-11,
expert-Changsha-behungry-1,Changsha-behungry-1,,,,expert-12,
auto-Changsha-behungry-1,Changsha-behungry-1,,,,auto-13,
expert-Changsha-bite-1,Changsha-bite-1,,,,expert-18,
auto-Changsha-bite-1,Changsha-bite-1,,,,auto-17,
auto-Changsha-black-1,Changsha-black-1,,,,auto-19,
expert-Changsha-blowwithmouth-1,Changsha-blowwithmouth-1,,,,expert-22,
expert-Changsha-bright-1,Changsha-bright-1,,,,expert-35,
auto-Changsha-bright-1,Changsha-bright-1,,,,auto-27,
expert-Changsha-caprinegoatorsheep-1,Changsha-caprinegoatorsheep-1,,,,expert-42,
auto-Changsha-caprinegoatorsheep-1,Changsha-caprinegoatorsheep-1,,,,auto-28,
expert-Changsha-cat-1,Changsha-cat-1,,,,expert-45,
auto-Changsha-cat-1,Changsha-cat-1,,,,auto-29,
expert-Changsha-claw-1,Changsha-claw-1,,,,expert-41,
expert-Changsha-clean-1,Changsha-clean-1,,,,expert-44,
expert-Changsha-cold-1,Changsha-cold-1,,,,expert-59,
auto-Changsha-cold-1,Changsha-cold-1,,,,auto-35,
expert-Changsha-cotton-1,Changsha-cotton-1,,,,expert-50,
expert-Changsha-cry-1,Changsha-cry-1,,,,expert-78,
