ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Dataset,ChineseName,SubGroup,Datasets
KimMun,Kim Mun,,,,,18.955781,109.86012,Hmong-Mien,chenhmongmien,烟园,Mienic,chenhmongmien
BiaoMin,Biao Min,,,,,25.82286,111.29622,Hmong-Mien,chenhmongmien,双龙,Mienic,chenhmongmien
ZaoMin,Zao Min,,,,,24.612303,112.266749,Hmong-Mien,chenhmongmien,油岭,Mienic,chenhmongmien
Guiyang,Guiyang,,,,,26.71691,106.638336,Sino-Tibetan,housinitic,贵阳,Sinitic,housinitic/houzihui
Haikou,Haikou,,,,,20.043869,110.329399,Sino-Tibetan,housinitic,海口,Sinitic,housinitic/houzihui
Nanning,Nanning,,,,,22.848716,108.366165,Sino-Tibetan,housinitic,南宁,Sinitic,housinitic/houzihui
Wuhan,Wuhan,,,,,30.624086,114.305649,Sino-Tibetan,housinitic,武汉,Sinitic,housinitic/houzihui
Xianggang,Xianggang,,,,,22.422645,114.098396,Sino-Tibetan,housinitic,香港,Sinitic,housinitic/houzihui
Guilin,Guilin,,,,,25.266667,110.283333,Sino-Tibetan,liusinitic,桂林,Sinitic,liusinitic
Tuoluo,Tuoluo,,,,,23.3833337,102.1839821,Sino-Tibetan,wangbai,妥洛白语,Bai,wangbai
